Instruction Address, Count, Readable Disasssembly
0x403faa,1,"mov r14, rbx"
0x402d14,63018986,"mov rax, rax"
0x402cc4,86537943,"mov rbx, rax"
0x403661,32,"mov rax, rax"
0x4035b4,96358713,"mov rbp, rbp"
0x40357c,683050,"mov rax, rax"
0x40353c,745156,"mov rax, rax"
0x403504,959799,"mov rax, rax"
0x403521,744923,"mov rsi, rsi"
0x403515,959799,"mov rax, rax"
0x4034e9,959799,"mov rsi, rsi"
0x4034d0,960032,"mov rbp, rbp"
0x403487,1,"mov r12, r12"
0x40340a,30,"mov rcx, rcx"
0x4032c6,31,"mov rax, rax"
0x4035dc,5850486,"mov rax, rax"
0x4032bf,31,"mov rdx, rdx"
0x4032b7,31,"mov r8, r8"
0x403293,31,"mov r8, r8"
0x403274,32,"mov rcx, rcx"
0x403238,32,"mov rcx, rcx"
0x4031f9,32,"mov rax, rax"
0x4031e5,32,"mov rax, rax"
0x4031d0,32,"mov rax, rax"
0x403334,91168281,"mov rsi, rsi"
0x403330,91168281,"mov r15, r15"
0x403329,91168281,"mov rdi, rdi"
0x403f84,1,"mov rbx, rdi"
0x403310,91168281,"mov edx, r14d"
0x40339c,24499882,"mov rcx, rcx"
0x40336e,24678230,"mov rax, rax"
0x4032f0,32,"mov r14, r11"
0x403142,2,"mov r8, r8"
0x40313b,2,"mov rdx, rdx"
0x40311b,32,"mov rax, rax"
0x404cfe,1977246,"mov rsi, r10"
0x4030f9,32,"mov rax, rax"
0x4030f2,32,"mov rdx, rdx"
0x4030a5,32,"mov r8, r8"
0x402fc7,33,"mov rax, rax"
0x403ec1,33,"mov rdi, rdi"
0x401f9f,2,"mov rsi, r13"
0x402f30,6012655,"mov rsi, rsi"
0x403b97,190861695,"mov r8, rdx"
0x402f23,6012655,"mov r13, r13"
0x402ee5,266269,"mov rax, rax"
0x402eac,265237,"mov rax, rax"
0x405110,30000,"mov r8, rsi"
0x402ed1,265237,"mov rsi, rsi"
0x402ec1,265237,"mov rax, rax"
0x406385,171324883,"mov r15, r15"
0x402e98,264024,"mov rsi, rsi"
0x402e5b,990033,"mov rax, rax"
0x402fb1,33,"mov rax, rax"
0x402c97,30,"mov r14, r14"
0x402bf3,3,"mov rdx, rdx"
0x40432b,113041087,"mov rax, r11"
0x402d60,3995716,"mov rbx, rax"
0x40512f,30000,"mov r10, rax"
0x401f5f,1,"mov rsi, rsi"
0x402bd3,33,"mov rax, rax"
0x402baa,1,"mov rax, rax"
0x402ba3,1,"mov r8, r8"
0x401798,44035828,"mov rdx, rdx"
0x404c61,33,"mov r13, rax"
0x401774,44062583,"mov rsi, rsi"
0x401770,44062583,"mov rdi, rdi"
0x401e49,0,"mov rdx, rdx"
0x401e24,0,"mov r11, rdx"
0x4041f3,33,"mov rax, rax"
0x401c97,1332,"mov r11, r11"
0x401c57,0,"mov r10, r10"
0x401c24,0,"mov rdx, rdx"
0x401b97,288,"mov r11, r11"
0x401b90,288,"mov r8d, r8d"
0x404c20,0,"mov rsi, rcx"
0x4026c4,454199258,"mov edi, esi"
0x403635,32,"mov rax, rax"
0x4026a4,454199258,"mov r9, r9"
0x401cfc,1332,"mov rsi, rsi"
0x404258,4194809,"mov rcx, rcx"
0x402336,246962,"mov rdx, rdx"
0x402d90,989441,"mov rax, rax"
0x4022b5,246962,"mov rax, rax"
0x402808,3561660872,"mov rbp, rbp"
0x4027f4,3561660872,"mov r9, r9"
0x4033d7,31,"mov rdx, rax"
0x402763,3754953240,"mov r11, r11"
0x403114,32,"mov rax, rax"
0x402df7,33,"mov rax, rax"
0x403f1e,498163,"mov r8, r8"
0x402636,193292349,"mov r9d, esi"
0x4025f8,193292349,"mov r11, r11"
0x403bb7,190861695,"mov rax, rax"
0x4025ec,193292349,"mov r10, r10"
0x4025e0,193292349,"mov r9, r9"
0x4024bc,122984122,"mov r12, r12"
0x406bc9,4618586427,"mov r15, r15"
0x40242e,3309293196,"mov r8, r8"
0x404c9d,1977246,"mov rax, rax"
0x402424,3309293196,"mov rdi, rdi"
0x404c99,1977246,"mov r11, r11"
0x40148f,1,"mov r15, r14"
0x402420,3309293196,"mov rcx, rcx"
0x402403,3308798262,"mov r9, r9"
0x4023fb,3308798262,"mov r9, r9"
0x4023d6,494967,"mov rdx, rdx"
0x402e8c,264024,"mov rax, rax"
0x4023b1,495000,"mov r14, r14"
0x401dd5,0,"mov rsi, rsi"
0x4020f2,32334951,"mov rsi, rdx"
0x402058,31,"mov r15, r15"
0x4032a9,31,"mov rax, r9"
0x404557,2275294,"mov rbp, rbp"
0x401ffb,31,"mov rbp, rbp"
0x4039df,6179174,"mov rbx, rbx"
0x405089,1,"mov rdx, rdx"
0x40187f,59984,"mov r8, r8"
0x4080b2,26442149,"mov rax, rax"
0x401d12,1332,"mov r11, r11"
0x40186b,60000,"mov r9, rdi"
0x401843,2,"mov rdx, rdx"
0x404347,116653052,"mov r10, rdx"
0x4017b1,2,"mov rbx, rdi"
0x401f25,32,"mov r13, r13"
0x401545,1,"mov rax, rax"
0x402144,19,"mov rdi, rdx"
0x4014d0,162201,"mov rsi, rsi"
0x405624,15000,"mov rbx, rbx"
0x402771,3661110384,"mov r12, r12"
0x4014c3,162201,"mov r12, r12"
0x40147f,30001,"mov rax, rax"
0x403391,24499882,"mov rcx, rcx"
0x40146f,30001,"mov r13, r13"
0x4058be,117202,"mov rcx, rcx"
0x404610,120016093,"mov rcx, rcx"
0x401440,30001,"mov rax, rax"
0x40140d,29993,"mov rax, rax"
0x404625,60024010,"mov rdi, rdi"
0x401455,30001,"mov rax, rax"
0x402e7b,264024,"mov rax, rax"
0x406510,7930,"mov r15, r15"
0x40141e,29993,"mov rax, rax"
0x40870f,1960734,"mov r9, r9"
0x405b79,136403605,"mov rax, rax"
0x4013de,30001,"mov r15, r15"
0x404234,17984168,"mov rsi, rsi"
0x401381,1,"mov r14, rdi"
0x403ad4,525000,"mov rsi, rsi"
0x4034dd,960032,"mov rax, rax"
0x40254c,647491607,"mov r12, r12"
0x402b86,1,"mov rax, rax"
0x403b08,38336,"mov rsi, rsi"
0x403b01,38336,"mov rsi, rsi"
0x402b5f,1,"mov rax, rax"
0x407925,0,"mov r9, r9"
0x406677,363327153,"mov rax, rax"
0x403ae1,525000,"mov r9, rcx"
0x403a3f,96896130,"mov rsi, rsi"
0x402140,19,"mov rsi, rax"
0x404cbe,1977246,"mov r8, r13"
0x403a10,35,"mov rdi, rdi"
0x403f34,28356,"mov rdi, rdi"
0x404230,17984168,"mov rdi, rdi"
0x403f13,498163,"mov r8, r8"
0x403ef0,96022784,"mov rsi, rsi"
0x402608,193292349,"mov rbp, rbp"
0x403ed8,33,"mov rdx, rdx"
0x402bcc,33,"mov rax, rax"
0x403e68,989792,"mov rdi, rdi"
0x401878,59984,"mov r8, r8"
0x4078d7,336885004,"mov rsi, rsi"
0x4027e5,3561660872,"mov r11, r11"
0x403db0,33,"mov r15, r15"
0x404644,55379793,"mov r10, r10"
0x401f69,1,"mov rdx, rdx"
0x408750,53782086,"mov r15, r15"
0x40648a,1414524,"mov r12, rbp"
0x40530a,1,"mov r8, r8"
0x406bf2,4618586427,"mov rbp, rbp"
0x402457,121138835,"mov r9, r9"
0x40750a,336885004,"mov r9, r9"
0x406579,7565371,"mov r12, r15"
0x4066e3,3191093551,"mov r12, r12"
0x401f48,32,"mov rdi, rdi"
0x405d50,663001754,"mov r12, r12"
0x4061a5,172104813,"mov rcx, rcx"
0x401d27,1332,"mov r8, r8"
0x405b2f,136403605,"mov rax, rax"
0x404b8f,33,"mov rax, rax"
0x405b20,136403605,"mov rdi, rax"
0x403bf4,139113244,"mov rcx, rcx"
0x405b16,136403605,"mov rax, rax"
0x405602,15000,"mov edx, r15d"
0x406593,12362,"mov r12, r13"
0x4013eb,30001,"mov rax, rax"
0x406302,327625945,"mov r13, r13"
0x405050,1,"mov rdx, rdi"
0x4062fe,327625945,"mov r11, rbx"
0x405701,12438,"mov rdx, rdx"
0x407c5d,310511117,"mov rsi, rax"
0x40791b,0,"mov r9, r9"
0x4013f7,29993,"mov rsi, rsi"
0x403a80,1050000,"mov rdx, rax"
0x4078c4,336885004,"mov r12, r12"
0x406beb,4618586427,"mov rbp, rbp"
0x4030c4,32,"mov r9, r9"
0x4014da,162202,"mov r13, r13"
0x40879c,2385079,"mov esi, esi"
0x407500,336885004,"mov r9, r9"
0x408810,791318,"mov rbp, r13"
0x401465,30001,"mov rsi, rsi"
0x4042eb,115001329,"mov rdx, rdx"
0x404d1d,1977246,"mov r13, r13"
0x403a30,96896130,"mov rax, rcx"
0x4087ba,2385079,"mov r12, rcx"
0x402823,3561660872,"mov r11, r9"
0x408849,472180,"mov r9, r9"
0x406bdc,4618586427,"mov r14, r14"
0x4017cd,2,"mov rcx, rcx"
0x408775,1977246,"mov r8, r8"
0x401c0e,288,"mov r11, r11"
0x403e05,241,"mov r14, r14"
0x40667e,363327153,"mov r13, rax"
0x408703,9915,"mov r9, r9"
0x402e67,989792,"mov rsi, rsi"
0x4064ae,1418848,"mov r12, r12"
0x405085,1,"mov rcx, rcx"
0x4086cc,1977246,"mov r10, r10"
0x40231f,264,"mov r14, r14"
0x402a63,22633374,"mov r9d, ecx"
0x4055f9,15000,"mov rdi, rdi"
0x40435d,1459464,"mov rax, rax"
0x4025d4,193292349,"mov r13, r13"
0x4017df,2,"mov rax, rax"
0x404f26,0,"mov rax, rax"
0x403551,745156,"mov rax, rax"
0x4028dd,231,"mov r14, r14"
0x402bfa,3,"mov rcx, rcx"
0x4074dd,157013217,"mov rdx, rdx"
0x408779,1977246,"mov r14, r14"
0x405543,1,"mov rax, rax"
0x4045c1,1977246,"mov r8, r8"
0x402784,3661110384,"mov r12, r12"
0x406bd5,4618586427,"mov r14, r14"
0x40560a,15000,"mov r12, rbp"
0x403561,468174,"mov rsi, rsi"
0x404e49,1977246,"mov rax, rax"
0x403b70,190861695,"mov rdi, rdi"
0x407368,3255039200,"mov r10, r10"
0x404e0c,0,"mov rdi, rdi"
0x40524c,1,"mov rbx, rbx"
0x40825f,603182266,"mov r12, r12"
0x4074be,157013217,"mov rax, r10"
0x4041ff,33,"mov rax, rax"
0x401ca3,1132,"mov rcx, rcx"
0x404cb6,1977246,"mov r9, r9"
0x4074ba,157013217,"mov r8, r8"
0x4074ab,157013217,"mov r10, r10"
0x4052ca,1,"mov rdi, rdi"
0x404c90,1977246,"mov rbp, rbp"
0x402e4e,990033,"mov rbx, rbx"
0x404edf,166,"mov rcx, rcx"
0x404416,8937979528,"mov r10, rdx"
0x4045a3,1977246,"mov rax, rbx"
0x402bb1,1,"mov rax, rdx"
